category,revenue,revenue_share_percent
Apparel,171786.0,47.4
New,25800.0,7.12
Bags,23854.0,6.58
Campus Collection,20060.0,5.54
Accessories,17839.0,4.92
Uncategorized Items,17461.0,4.82
Shop by Brand,16958.0,4.68
Drinkware,15683.0,4.33
Lifestyle,13426.0,3.7
Clearance,11424.0,3.15
Office,9194.0,2.54
,7351.0,2.03
Google,3131.0,0.86
Gift Cards,2475.0,0.68
Small Goods,1729.0,0.48
Stationery,1565.0,0.43
Writing Instruments,945.0,0.26
Notebooks & Journals,718.0,0.2
Electronics Accessories,584.0,0.16
Fun,316.0,0.09
Black Lives Matter,104.0,0.03
